date,ic
2023-02-09,-0.017816198146793635
2023-02-10,0.04651600670466222
2023-02-13,0.1021047785920201
2023-02-14,0.20780748423165735
2023-02-15,0.005173952734857841
2023-02-16,0.11817247971142406
2023-02-17,0.04528192954850911
2023-02-20,0.026463816975177867
2023-02-21,0.04055625090873208
2023-02-22,0.06572923382754217
2023-02-23,0.11799480949683336
2023-02-24,0.005349467263747239
2023-03-01,-0.0029411258520782133
2023-03-02,-0.0031866743434364815
2023-03-03,0.01910651852393936
2023-03-06,0.10183021176909725
2023-03-07,0.12516220006458048
2023-03-08,0.14117942938971853
2023-03-09,0.09312943721267526
2023-03-10,0.005875427353625397
2023-03-13,0.0717379952306807
2023-03-14,0.10536687216439475
2023-03-15,0.04561478984223824
2023-03-16,0.037369577533810476
2023-03-17,0.006924285210019832
2023-03-20,0.05036516639384843
2023-03-21,0.023367570477562147
2023-03-22,0.03263597487086425
2023-03-23,0.02690606212034231
2023-03-24,0.03475881862736061
2023-03-27,0.018535948140432506
2023-03-28,0.057827503851733374
2023-03-29,0.04859801886606659
2023-03-30,0.050244055033599466
2023-03-31,0.030546012994189044
2023-04-06,0.018783676617131595
2023-04-07,0.017564549251051706
2023-04-10,0.08160910783418167
2023-04-11,0.0910608940409117
2023-04-12,0.07820734901386264
2023-04-13,0.1644076941887004
2023-04-14,0.19861479940400353
2023-04-17,0.14083467936734073
2023-04-18,0.14891911238771513
2023-04-19,0.11069979594849438
2023-04-20,0.09260409238481981
2023-04-21,0.1901991656196675
2023-04-24,0.21174321779973043
2023-04-25,0.12519283509116905
2023-04-26,0.13337624055731284
2023-04-27,0.12668146866830213
2023-04-28,0.13760004325173916
2023-05-02,0.12342971381872742
2023-05-03,0.13240438741903554
2023-05-04,0.09393069225052963
2023-05-05,0.10808482292659025
2023-05-08,0.1268064470244959
2023-05-09,0.09523456444725606
2023-05-10,0.07181985351452583
2023-05-11,0.045518494470751306
2023-05-12,0.009933960567706636
2023-05-15,0.00847339157964738
2023-05-16,0.08116409709329785
2023-05-17,0.08418193026807871
2023-05-18,0.0813991973220926
2023-05-19,0.014519850029092667
2023-05-22,0.027834879695735382
2023-05-23,0.11404971515633386
2023-05-24,0.06392084924561998
2023-05-25,0.023098951565495136
2023-05-26,0.04573493093997335
2023-05-29,0.07096876868463238
2023-05-30,0.09841316739248719
2023-05-31,0.008764853943844127
2023-06-01,-0.028211023328943402
2023-06-02,-0.033820588617852
2023-06-05,-0.018616585314227968
2023-06-06,0.06665738864523649
2023-06-07,0.04721947174497594
2023-06-08,-0.014872991889174925
2023-06-09,-0.021071537155362023
2023-06-12,-0.047000133122019186
2023-06-13,0.04332015993446987
2023-06-14,0.0314664892449275
2023-06-15,0.01719072863429189
2023-06-16,0.08188994866019228
2023-06-19,0.03769609339780487
2023-06-20,-0.060349197627850244
2023-06-21,-0.04778410553844384
2023-06-26,-0.081461634789017
2023-06-27,0.018904198927133107
2023-06-28,-0.1066288054546478
2023-06-29,-0.00705175527453174
2023-06-30,0.018139811057095057
2023-07-03,0.08670257085568621
2023-07-04,0.08695773806208912
2023-07-05,0.13172146469794496
2023-07-06,0.08963625875580054
2023-07-07,0.08892146194866883
2023-07-10,0.04249724308793265
2023-07-11,0.14852390841095203
2023-07-12,0.10550881307087116
2023-07-13,0.07592521212601339
2023-07-14,0.05484036757017872
2023-07-17,0.006941719951344847
2023-07-18,-0.08860036995315058
2023-07-19,0.028085500474972956
2023-07-20,0.1095641351920933
2023-07-21,0.06927730377305691
2023-07-24,0.10806953226648541
2023-07-25,0.1495222449390392
2023-07-26,0.1859725289610959
2023-07-27,0.07781573841683133
2023-07-28,0.13211655694980604
2023-07-31,0.11061983919912821
2023-08-01,0.08036766082479864
2023-08-02,0.03841876508661467
2023-08-04,0.026210430319334798
2023-08-07,0.09937005782011703
2023-08-08,0.05433057031133509
2023-08-09,-0.025822684461726444
2023-08-10,-0.02408129582151553
2023-08-11,-0.0290142072221552
2023-08-14,0.08666939859389258
2023-08-15,-0.046927324222625535
2023-08-16,-0.010618851603238178
2023-08-17,-0.019758568847287925
2023-08-18,0.09628122830877649
2023-08-21,0.024161219227939686
2023-08-22,0.04529558345413921
2023-08-23,-0.05336586523656462
2023-08-24,0.0291320314607488
2023-08-25,0.006309499612141786
2023-08-28,-0.0335337023314386
2023-08-29,-0.007284419099240946
2023-08-30,0.018957869279992247
2023-08-31,0.001345246739348237
2023-09-01,0.03613622283494476
2023-09-04,0.03899467684952573
2023-09-05,0.03513855835082629
2023-09-06,0.11755693811005828
2023-09-07,0.10092756761979094
2023-09-08,0.012241373976465506
2023-09-11,0.02317191610640517
2023-09-12,0.12658877076640757
2023-09-13,0.11487706930575646
2023-09-14,0.1539047000393696
2023-09-15,0.12233495276867665
2023-09-18,-0.0544900353830436
2023-09-19,-0.025636336828163592
2023-09-20,-0.12687825864608512
2023-09-21,-0.1042759647212799
2023-09-22,-0.13121941585374491
2023-09-25,-0.07281307231250954
2023-09-26,-0.10757674467229561
2023-09-27,-0.00831266060446235
2023-09-28,-0.09910570700442083
2023-10-02,0.06749189165615939
2023-10-03,-0.023440817591881217
2023-10-04,0.08778737174563143
2023-10-05,0.032935970059346696
2023-10-06,0.06546599966245527
2023-10-11,0.10861972821277502
2023-10-12,0.1584954393393504
2023-10-13,0.18736750965531224
2023-10-16,0.09422687700453199
2023-10-17,-0.07821276288254018
2023-10-18,0.05242386768552384
2023-10-19,0.017867410531103405
2023-10-20,0.0065916721740813715
2023-10-23,-0.008510639981726947
2023-10-24,0.11563501082057098
2023-10-25,0.17463854963401182
2023-10-26,-0.0011684944936223517
