date,ic
2024-12-03,0.09793821559848312
2024-12-04,0.008505555333570738
2024-12-05,0.023030015822935953
2024-12-06,-0.10582640891321399
2024-12-09,-0.07324280253667809
2024-12-10,0.006343437524916145
2024-12-11,0.05829909282413056
2024-12-12,0.021782429520799486
2024-12-13,0.05255667925283175
2024-12-16,0.1189906217558029
2024-12-17,0.11469532559957264
2024-12-18,0.1416199274868075
2024-12-19,0.23168628156231136
2024-12-20,0.19488398119225694
2024-12-23,0.12135195883293712
2024-12-24,0.09194230347154876
2024-12-25,0.026175432715568842
2024-12-26,0.02912110943077304
2024-12-27,0.061017435333067624
2024-12-30,-0.00895425505136837
2024-12-31,-0.006743131070511292
2025-01-02,-0.05543926778142673
2025-01-03,0.09982897737567739
2025-01-06,-0.04503030707765375
2025-01-07,-0.002683533792152288
2025-01-08,-0.04091248759193969
2025-01-09,0.04807377942653709
2025-01-10,-0.048338298024005785
2025-01-13,0.12059554195238774
2025-01-14,0.03036350233974623
2025-01-15,0.11890966073714147
2025-01-16,-0.062420184154836494
2025-01-17,-0.045394177101890344
2025-01-20,-0.016139893002135065
2025-01-21,-0.04574566823372038
2025-01-22,-0.03930733215846985
2025-02-03,0.16254257782761716
2025-02-04,0.1755262682593129
2025-02-05,0.09673083656381772
2025-02-06,-0.05433679440765612
2025-02-07,-0.021238887554860864
2025-02-10,0.025305841165350514
2025-02-11,-0.06882494671881585
2025-02-12,-0.06696343402564138
2025-02-13,0.0162634498501549
2025-02-14,0.017756813629741543
2025-02-17,-0.019497693687769744
2025-02-18,-0.020357227266171198
2025-02-19,0.021672356766913314
2025-02-20,-0.013483603953808728
2025-02-21,0.15621721110507736
2025-02-24,0.19704682140302118
2025-02-25,0.1701966752235975
2025-02-26,0.039100601641258115
2025-02-27,0.1176576972964413
2025-03-03,0.05617768078522547
2025-03-04,-0.051794876096388304
2025-03-05,0.09436177526824463
2025-03-06,0.04719589840827858
2025-03-07,0.03674013650365564
2025-03-10,0.0854995228830278
2025-03-11,0.0887229365932404
2025-03-12,0.10257130699043206
2025-03-13,0.08365694434676789
2025-03-14,0.026599312841166397
2025-03-17,0.07312339598785021
2025-03-18,0.0630307176794719
2025-03-19,0.06318977652370769
2025-03-20,0.022254238222883894
2025-03-21,0.01674342763952565
2025-03-24,-0.1067763808661054
2025-03-25,-0.16696467780805316
2025-03-26,-0.0683040305448249
2025-03-27,-0.0313528366696706
2025-03-28,-0.18130626662052893
2025-03-31,-0.24258124637162795
2025-04-01,-0.24192013697119402
2025-04-02,-0.26152525675049887
2025-04-07,-0.2434492037683956
2025-04-08,0.13667373617965858
2025-04-09,0.37334816403980275
2025-04-10,0.15707368501121222
2025-04-11,0.2834612431948128
2025-04-14,-0.0038435353922243493
2025-04-15,-0.06518006048642329
2025-04-16,0.017353466580318035
2025-04-17,0.07961407978129026
2025-04-18,0.1858119901198558
2025-04-21,0.34525777575913275
2025-04-22,0.39020338565412865
2025-04-23,0.2599002178118795
2025-04-24,0.22180933137718095
2025-04-25,-0.08186220050132059
2025-04-28,-0.07639487655151558
2025-04-29,-0.12897262049621083
2025-04-30,-0.04286302168933395
2025-05-02,0.025983755372919873
2025-05-05,-0.05145887690793156
2025-05-06,-0.015266091265220052
2025-05-07,-0.03886076225244379
2025-05-08,-0.142674155956696
2025-05-09,-0.1677099605828801
2025-05-12,-0.07821111732843808
2025-05-13,0.03438386241524455
2025-05-14,0.03406311731781614
2025-05-15,0.009899911849233606
2025-05-16,0.16965578752957683
2025-05-19,0.048364059393979
2025-05-20,0.010721005036358115
2025-05-21,0.010840257356677555
2025-05-22,0.04562200560302939
2025-05-23,0.013521033823317792
2025-05-26,-0.011106490885721767
2025-05-27,-0.12295587860293879
2025-05-28,-0.02598914840812292
2025-05-29,-0.017722977027275582
