date,ic
2024-12-03,0.128796030499824
2024-12-04,0.04655158473807594
2024-12-05,0.15153240905117893
2024-12-06,-0.09497696906919442
2024-12-09,-0.10912920391180773
2024-12-10,-0.02660950094466445
2024-12-11,0.002392333100992779
2024-12-12,-0.007640792390602781
2024-12-13,0.02702336740345177
2024-12-16,0.07933641295612129
2024-12-17,0.09266314941171526
2024-12-18,0.14721728406804085
2024-12-19,0.17629955207534914
2024-12-20,0.17022425627923335
2024-12-23,0.09803883460387229
2024-12-24,0.09116377944356618
2024-12-25,0.03715938545599925
2024-12-26,0.03718356275001057
2024-12-27,0.062853691739382
2024-12-30,0.058622994901172884
2024-12-31,0.06390633389101948
2025-01-02,0.0029239307590645915
2025-01-03,0.0905347571594092
2025-01-06,-0.025667566660630536
2025-01-07,0.040447054908885324
2025-01-08,0.016505520496310638
2025-01-09,0.07713951250438017
2025-01-10,0.0418639874625568
2025-01-13,0.2202016354958256
2025-01-14,0.09428363257343027
2025-01-15,0.12055991724699686
2025-01-16,0.013787568573945396
2025-01-17,-0.00992789526535403
2025-01-20,0.024858419074376054
2025-01-21,0.025661397548964005
2025-01-22,0.023096332565331973
2025-02-03,0.10272079967774668
2025-02-04,0.11576792983320988
2025-02-05,0.0036496835955391357
2025-02-06,-0.06439581774110226
2025-02-07,-0.039792879513977635
2025-02-10,0.011714466686924288
2025-02-11,-0.035398365234551
2025-02-12,-0.03567080385755912
2025-02-13,0.012790649502176931
2025-02-14,-0.006776853575764079
2025-02-17,-0.03716032036986791
2025-02-18,-0.0693596240691148
2025-02-19,0.015838919806518116
2025-02-20,-0.0013400024728805796
2025-02-21,0.14057064291984428
2025-02-24,0.17544898064465378
2025-02-25,0.1423023680743558
2025-02-26,0.06838234301644172
2025-02-27,0.06885693405568498
2025-03-03,0.0205175566431315
2025-03-04,-0.06280537960258664
2025-03-05,0.07959404830846796
2025-03-06,0.08032791715649769
2025-03-07,0.0003006668910296468
2025-03-10,0.04004987625467824
2025-03-11,0.08837120648349703
2025-03-12,0.017215064388711735
2025-03-13,0.009411099207050862
2025-03-14,0.04988045728321423
2025-03-17,0.10747204568564814
2025-03-18,0.016857687411802057
2025-03-19,-0.001641354699260071
2025-03-20,-0.01746389569753134
2025-03-21,-0.017241044026513965
2025-03-24,-0.06949139225156632
2025-03-25,-0.17280611415526503
2025-03-26,-0.05648422363664252
2025-03-27,-0.05652308978501624
2025-03-28,-0.16656797510962157
2025-03-31,-0.2797688668020691
2025-04-01,-0.2777561704476637
2025-04-02,-0.2299703082445083
2025-04-07,-0.21106463327719305
2025-04-08,0.13402623789576956
2025-04-09,0.34921168670285274
2025-04-10,0.04062793896440282
2025-04-11,0.23713904096818847
2025-04-14,-0.05911086583580733
2025-04-15,-0.15585535567943842
2025-04-16,-0.048933518322334786
2025-04-17,0.025584690506753088
2025-04-18,0.1826394068451044
2025-04-21,0.30097633008103514
2025-04-22,0.3418666950531339
2025-04-23,0.2276378476900558
2025-04-24,0.15815854768506799
2025-04-25,-0.07321303113274924
2025-04-28,-0.01579815432326866
2025-04-29,-0.0563574231307099
2025-04-30,-0.0037965629927106657
2025-05-02,0.06746899314113085
2025-05-05,-0.07600002908299913
2025-05-06,-0.03145726598162823
2025-05-07,-0.05792465196455374
2025-05-08,-0.17885524737492803
2025-05-09,-0.13566056287739045
2025-05-12,-0.03347148609073654
2025-05-13,0.032343733140109694
2025-05-14,0.0450857456392221
2025-05-15,0.05630640146537872
2025-05-16,0.1083749232660589
2025-05-19,0.03288814244068874
2025-05-20,0.11869305994679935
2025-05-21,0.0853228938960528
2025-05-22,0.026562843578859928
2025-05-23,0.041630911117950156
2025-05-26,0.012584767245137674
2025-05-27,-0.08793124136888215
2025-05-28,0.03644529945245176
2025-05-29,0.05337249426820553
